Category,x,y,z
2021-12-15 18:40:39,"0,15441","0,12021","0,16445"
2021-12-15 18:40:41,"0,16602","0,1086","0,16054"
2021-12-15 18:40:44,"0,18519","0,13938","0,1334"
2021-12-15 18:40:46,"0,13359","0,13671","0,22199"
2021-12-15 18:40:48,"0,15299","0,1484","0,17186"
2021-12-15 18:40:51,"0,13159","0,14781","0,23305"
2021-12-15 18:40:53,"0,14071","0,1579","0,18065"
2021-12-15 18:40:55,"0,14819","0,13118","0,21783"
2021-12-15 18:40:57,"0,19288","0,13152","0,17567"
2021-12-15 18:40:59,"0,1675","0,11056","0,17183"
2021-12-15 18:41:01,"0,14681","0,12297","0,16933"
2021-12-15 18:41:04,"0,17175","0,14321","0,17381"
2021-12-15 18:41:06,"0,15666","0,1647","0,13903"
2021-12-15 18:41:08,"0,17079","0,11891","0,1604"
2021-12-15 18:41:10,"0,15616","0,11206","0,21728"
2021-12-15 18:41:12,"0,16651","0,12237","0,18144"
2021-12-15 18:41:14,"0,16079","0,11332","0,15717"
2021-12-15 18:41:16,"0,14355","0,10671","0,14317"
2021-12-15 18:41:18,"0,13602","0,13951","0,16627"
2021-12-15 18:41:21,"0,14317","0,13221","0,15551"
2021-12-15 18:41:23,"0,14405","0,14621","0,17679"
2021-12-15 18:41:26,"0,18485","0,13001","0,16938"
2021-12-15 18:41:28,"0,1409","0,13551","0,22105"
2021-12-15 18:41:31,"0,19788","0,11127","0,19229"
2021-12-15 18:41:33,"0,16586","0,11139","0,18555"
2021-12-15 18:41:35,"0,16281","0,15186","0,12718"
2021-12-15 18:41:37,"0,13439","0,16227","0,17204"
2021-12-15 18:41:39,"0,18819","0,12902","0,17663"
2021-12-15 18:41:41,"0,17978","0,13765","0,18717"
2021-12-15 18:41:44,"0,17456","0,12081","0,14308"
2021-12-15 18:41:46,"0,16941","0,12289","0,16891"
2021-12-15 18:41:49,"0,15563","0,13133","0,19467"
2021-12-15 18:41:51,"0,18315","0,14174","0,1743"
2021-12-15 18:41:53,"0,15112","0,14966","0,20972"
2021-12-15 18:41:55,"0,21953","0,14978","0,16567"
2021-12-15 18:41:57,"0,16469","0,11087","0,15726"
2021-12-15 18:41:59,"0,1692","0,12827","0,14299"
2021-12-15 18:42:02,"0,16628","0,15316","0,15482"
2021-12-15 18:42:04,"0,12735","0,13172","0,12769"
2021-12-15 18:42:06,"0,16229","0,11156","0,15302"
2021-12-15 18:42:08,"0,16495","0,11443","0,16271"
2021-12-15 18:42:11,"0,15046","0,11971","0,20826"
2021-12-15 18:42:13,"0,1886","0,12426","0,15472"
2021-12-15 18:42:15,"0,17527","0,12687","0,19179"
2021-12-15 18:42:17,"0,15141","0,13152","0,15853"
2021-12-15 18:42:19,"0,19264","0,14662","0,12824"
2021-12-15 18:42:21,"0,14453","0,14546","0,18028"
2021-12-15 18:42:23,"0,15343","0,11738","0,18466"
2021-12-15 18:42:26,"0,17028","0,18245","0,16738"
2021-12-15 18:42:28,"0,21738","0,12104","0,13115"
2021-12-15 18:42:30,"0,15139","0,13321","0,14465"
2021-12-15 18:42:32,"0,17039","0,11708","0,1854"
2021-12-15 18:42:35,"0,16711","0,13148","0,14966"
2021-12-15 18:42:37,"0,13668","0,1194","0,1668"
2021-12-15 18:42:39,"0,184","0,10166","0,20334"
2021-12-15 18:42:42,"0,14248","0,10705","0,16718"
2021-12-15 18:42:44,"0,14313","0,10266","0,13148"
2021-12-15 18:42:47,"0,17547","0,13036","0,16714"
2021-12-15 18:42:49,"0,15996","0,13051","0,17925"
2021-12-15 18:42:51,"0,16164","0,14418","0,14942"
2021-12-15 18:42:53,"0,15137","0,11866","0,15657"
2021-12-15 18:42:56,"0,14091","0,12009","0,16249"
2021-12-15 18:42:58,"0,16992","0,11731","0,17883"
2021-12-15 18:43:01,"0,15071","0,12777","0,14431"
2021-12-15 18:43:03,"0,15734","0,11135","0,19413"
2021-12-15 18:43:05,"0,15663","0,15534","0,15594"
2021-12-15 18:43:07,"0,17063","0,10697","0,20005"
2021-12-15 18:43:10,"0,13132","0,1028","0,12566"
2021-12-15 18:43:12,"0,13834","0,11504","0,19263"
2021-12-15 18:43:14,"0,19353","0,10712","0,1803"
2021-12-15 18:43:16,"0,16982","0,10344","0,17784"
2021-12-15 18:43:18,"0,15717","0,09879","0,17499"
2021-12-15 18:43:21,"0,16751","0,12772","0,15253"
2021-12-15 18:43:23,"0,17502","0,15616","0,20767"
2021-12-15 18:43:26,"0,16595","0,13693","0,15017"
2021-12-15 18:43:28,"0,17348","0,11445","0,17785"
2021-12-15 18:43:30,"0,17316","0,12529","0,16072"
2021-12-15 18:43:32,"0,16569","0,15497","0,13023"
2021-12-15 18:43:35,"0,15938","0,12811","0,23414"
2021-12-15 18:43:37,"0,14485","0,13184","0,16339"
2021-12-15 18:43:39,"0,17004","0,12632","0,18643"
2021-12-15 18:43:41,"0,1456","0,13356","0,16833"
2021-12-15 18:43:44,"0,16423","0,10868","0,17846"
2021-12-15 18:43:46,"0,13729","0,15588","0,14027"
2021-12-15 18:43:48,"0,16746","0,14896","0,14178"
2021-12-15 18:43:51,"0,17856","0,11918","0,16547"
2021-12-15 18:43:53,"0,17243","0,1428","0,17024"
2021-12-15 18:43:56,"0,16835","0,12781","0,16704"
2021-12-15 18:43:58,"0,15493","0,12113","0,15396"
2021-12-15 18:44:01,"0,13757","0,10278","0,17534"
2021-12-15 18:44:03,"0,1785","0,14163","0,13718"
2021-12-15 18:44:05,"0,17313","0,1122","0,19182"
2021-12-15 18:44:07,"0,16032","0,14987","0,16274"
2021-12-15 18:44:10,"0,1313","0,14338","0,22228"
2021-12-15 18:44:12,"0,1554","0,12582","0,1559"
2021-12-15 18:44:14,"0,17223","0,09379","0,15064"
2021-12-15 18:44:17,"0,17813","0,11828","0,16592"
2021-12-15 18:44:19,"0,18033","0,18451","0,18006"
2021-12-15 18:44:21,"0,12349","0,1385","0,13907"
2021-12-15 18:44:23,"0,17016","0,13902","0,20568"
2021-12-15 18:44:25,"0,15491","0,1273","0,14175"
2021-12-15 18:44:27,"0,16482","0,13801","0,1347"
2021-12-15 18:44:30,"0,14224","0,13581","0,15079"
2021-12-15 18:44:32,"0,18651","0,13143","0,18256"
2021-12-15 18:44:34,"0,16144","0,11689","0,17003"
2021-12-15 18:44:36,"0,14905","0,12278","0,18225"
2021-12-15 18:44:38,"0,14267","0,1176","0,16314"
2021-12-15 18:44:40,"0,18288","0,13623","0,16146"
2021-12-15 18:44:42,"0,18504","0,15588","0,17639"
2021-12-15 18:44:44,"0,15442","0,12697","0,1799"
2021-12-15 18:44:47,"0,18693","0,13223","0,17074"
2021-12-15 18:44:49,"0,16086","0,10103","0,18367"
2021-12-15 18:44:52,"0,16763","0,12948","0,19867"
2021-12-15 18:44:54,"0,1821","0,13267","0,14597"
2021-12-15 18:44:56,"0,17617","0,10578","0,14418"
2021-12-15 18:44:58,"0,20205","0,12585","0,12253"
2021-12-15 18:45:01,"0,14596","0,098","0,13531"
2021-12-15 18:45:03,"0,13201","0,13018","0,17471"
2021-12-15 18:45:05,"0,15526","0,13961","0,15514"
2021-12-15 18:45:08,"0,16559","0,10576","0,20039"
2021-12-15 18:45:10,"0,17784","0,13686","0,19344"
2021-12-15 18:45:12,"0,10575","0,13908","0,15778"
2021-12-15 18:45:14,"0,13765","0,15592","0,1916"
2021-12-15 18:45:17,"0,17897","0,11855","0,18"
2021-12-15 18:45:19,"0,12642","0,12363","0,15012"
2021-12-15 18:45:21,"0,17568","0,1062","0,14633"
2021-12-15 18:45:24,"0,17181","0,11585","0,14715"
2021-12-15 18:45:26,"0,18485","0,11251","0,12993"
2021-12-15 18:45:28,"0,14465","0,11377","0,1596"
2021-12-15 18:45:31,"0,12896","0,10541","0,15503"
2021-12-15 18:45:33,"0,18192","0,15156","0,15134"
2021-12-15 18:45:35,"0,12838","0,14421","0,18784"
2021-12-15 18:45:37,"0,16412","0,14706","0,13271"
2021-12-15 18:45:40,"0,19646","0,09608","0,14782"
2021-12-15 18:45:42,"0,15526","0,12017","0,1832"
2021-12-15 18:45:44,"0,14561","0,11845","0,16401"
2021-12-15 18:45:46,"0,13175","0,152","0,14653"
2021-12-15 18:45:49,"0,18565","0,11371","0,16058"
2021-12-15 18:45:51,"0,16404","0,11789","0,17061"
2021-12-15 18:45:53,"0,20018","0,14242","0,16923"
2021-12-15 18:45:55,"0,15152","0,12473","0,1598"
2021-12-15 18:45:57,"0,16598","0,12261","0,20653"
2021-12-15 18:45:59,"0,18837","0,1274","0,18086"
2021-12-15 18:46:02,"0,11432","0,13153","0,16484"
